"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1992","1992","EUR","Euro","0","Units",,,0.615311,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1993","1993","EUR","Euro","0","Units",,,0.764851,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1994","1994","EUR","Euro","0","Units",,,0.805104,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1995","1995","EUR","Euro","0","Units",,,0.749396,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1996","1996","EUR","Euro","0","Units",,,0.761251,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1997","1997","EUR","Euro","0","Units",,,0.879964,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1998","1998","EUR","Euro","0","Units",,,0.897884,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1999","1999","EUR","Euro","0","Units",,,0.938283,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2000","2000","EUR","Euro","0","Units",,,1.082705,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2001","2001","EUR","Euro","0","Units",,,1.116533,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2002","2002","EUR","Euro","0","Units",,,1.057559,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2003","2003","EUR","Euro","0","Units",,,0.884048,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2004","2004","EUR","Euro","0","Units",,,0.803922,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2005","2005","EUR","Euro","0","Units",,,0.8038,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2006","2006","EUR","Euro","0","Units",,,0.796433,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2007","2007","EUR","Euro","0","Units",,,0.729672,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2008","2008","EUR","Euro","0","Units",,,0.679923,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2009","2009","EUR","Euro","0","Units",,,0.716958,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2010","2010","EUR","Euro","0","Units",,,0.754309,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2011","2011","EUR","Euro","0","Units",,,0.718414,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2012","2012","EUR","Euro","0","Units",,,0.778338,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2013","2013","EUR","Euro","0","Units",,,0.752945,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2014","2014","EUR","Euro","0","Units",,,0.752728,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2015","2015","EUR","Euro","0","Units",,,0.901296,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2016","2016","EUR","Euro","0","Units",,,0.903421,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2017","2017","EUR","Euro","0","Units",,,0.885206,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2018","2018","EUR","Euro","0","Units",,,0.846773,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2019","2019","EUR","Euro","0","Units",,,0.893276,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2020","2020","EUR","Euro","0","Units",,,0.875506,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.845494,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2022","2022","EUR","Euro","0","Units",,,0.949624,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1950","1950","NZD","New Zealand Dollar","0","Units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1951","1951","NZD","New Zealand Dollar","0","Units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1952","1952","NZD","New Zealand Dollar","0","Units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1953","1953","NZD","New Zealand Dollar","0","Units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1954","1954","NZD","New Zealand Dollar","0","Units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1955","1955","NZD","New Zealand Dollar","0","Units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1956","1956","NZD","New Zealand Dollar","0","Units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1957","1957","NZD","New Zealand Dollar","0","Units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1958","1958","NZD","New Zealand Dollar","0","Units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1959","1959","NZD","New Zealand Dollar","0","Units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1960","1960","NZD","New Zealand Dollar","0","Units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1961","1961","NZD","New Zealand Dollar","0","Units",,,0.715514,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1962","1962","NZD","New Zealand Dollar","0","Units",,,0.719194,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1963","1963","NZD","New Zealand Dollar","0","Units",,,0.719194,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1964","1964","NZD","New Zealand Dollar","0","Units",,,0.719194,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1965","1965","NZD","New Zealand Dollar","0","Units",,,0.719194,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1966","1966","NZD","New Zealand Dollar","0","Units",,,0.719194,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1967","1967","NZD","New Zealand Dollar","0","Units",,,0.733666,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1968","1968","NZD","New Zealand Dollar","0","Units",,,0.892857,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1969","1969","NZD","New Zealand Dollar","0","Units",,,0.892857,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1970","1970","NZD","New Zealand Dollar","0","Units",,,0.892857,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1971","1971","NZD","New Zealand Dollar","0","Units",,,0.880607,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1972","1972","NZD","New Zealand Dollar","0","Units",,,0.83668,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1973","1973","NZD","New Zealand Dollar","0","Units",,,0.736812,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1974","1974","NZD","New Zealand Dollar","0","Units",,,0.715403,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1975","1975","NZD","New Zealand Dollar","0","Units",,,0.832307,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1976","1976","NZD","New Zealand Dollar","0","Units",,,1.004889,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1977","1977","NZD","New Zealand Dollar","0","Units",,,1.030312,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1978","1978","NZD","New Zealand Dollar","0","Units",,,0.964425,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1979","1979","NZD","New Zealand Dollar","0","Units",,,0.978502,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1980","1980","NZD","New Zealand Dollar","0","Units",,,1.02668,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1981","1981","NZD","New Zealand Dollar","0","Units",,,1.152795,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1982","1982","NZD","New Zealand Dollar","0","Units",,,1.332608,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1983","1983","NZD","New Zealand Dollar","0","Units",,,1.496773,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1984","1984","NZD","New Zealand Dollar","0","Units",,,1.763992,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1985","1985","NZD","New Zealand Dollar","0","Units",,,2.023372,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1986","1986","NZD","New Zealand Dollar","0","Units",,,1.913161,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1987","1987","NZD","New Zealand Dollar","0","Units",,,1.694561,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1988","1988","NZD","New Zealand Dollar","0","Units",,,1.526401,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1989","1989","NZD","New Zealand Dollar","0","Units",,,1.672148,,
